1,1,11
2,2,4
3,4,3
4,8,4
5,11,3
6,16,1
7,17,9
8,19,9
9,20,4
10,21,8
11,22,10
12,25,1
13,28,2
14,31,10
15,37,9
16,39,6
17,42,3
18,45,3
19,46,7
20,47,7
21,50,11
22,51,4
23,53,10
24,61,3
25,62,4
26,64,2
27,71,2
28,72,2
29,79,8
30,81,4
31,84,3
32,85,5
33,86,2
34,88,7
35,89,8
36,91,4
37,92,1
38,95,10
39,97,5
40,98,9
41,102,3
42,103,6
43,105,4
44,107,1
45,108,5
46,110,5
47,113,10
48,114,5
49,118,5
50,119,9
51,120,7
52,127,11
53,132,3
54,134,4
55,136,7
56,141,9
57,143,2
58,146,7
59,149,7
60,152,1
61,164,11
62,166,4
63,171,11
64,172,2
65,177,9
66,179,5
67,181,3
68,185,9
69,187,4
70,188,10
71,189,6
72,191,1
73,192,1
74,193,10
75,194,3
76,195,7
77,197,7
78,201,4
79,202,7
80,204,9
81,206,9
82,207,6
83,209,4
84,210,3
85,212,1
86,214,8
87,215,6
88,224,11
89,225,10
90,229,4
91,230,10
92,232,9
93,238,8
94,242,4
95,243,5
96,247,7
97,249,10
98,250,1
99,257,2
100,266,4
101,268,8
102,273,1
103,274,4
104,277,5
105,279,8
106,280,7
107,281,10
108,283,9
109,287,11
110,290,8
111,291,10
112,292,1
113,299,9
114,301,10
115,302,7
116,303,7
117,305,1
118,306,11
119,312,8
120,316,9
121,318,7
122,319,7
123,320,9
124,321,11
125,325,4
126,329,8
127,336,2
128,343,1
129,347,10
130,351,8
131,352,11
132,354,8
133,355,9
134,358,5
135,360,10
136,364,2
137,371,9
138,378,7
139,382,3
140,383,6
141,390,8
142,393,9
143,395,8
144,400,7
145,403,9
146,408,6
147,409,6
148,410,7
149,412,6
150,414,4
151,419,10
152,420,7
153,423,2
154,433,5
155,436,9
156,443,1
157,446,7
158,450,2
159,451,7
160,453,5
161,455,3
162,456,7
163,457,8
164,461,6
165,464,11
166,469,6
167,472,6
168,473,10
169,482,7
170,484,5
171,486,1
172,488,2
173,499,7
174,500,7
175,501,2
176,505,3
177,506,8
178,507,3
179,509,9
180,516,10
181,523,5
182,524,7
183,525,9
184,526,7
185,530,5
186,531,10
187,533,8
188,535,8
189,540,5
190,545,6
191,551,5
192,557,5
193,559,4
194,560,8
195,561,7
196,562,8
197,565,11
198,566,5
199,572,11
200,576,2
201,578,2
202,580,1
203,581,8
204,584,11
205,585,4
206,588,3
207,598,9
208,599,1
209,600,5
210,610,2
211,612,4
212,615,8
213,620,11
214,621,11
215,622,6
216,625,11
217,631,5
218,636,1
219,638,4
220,639,1
221,642,6
222,643,6
223,645,3
224,648,11
225,649,8
226,650,10
227,652,5
228,654,3
229,657,8
230,658,2
231,663,2
232,665,6
233,669,4
234,671,1
235,673,9
236,677,9
237,678,3
238,680,9
239,682,8
240,688,5
241,689,8
242,690,9
243,691,9
244,692,3
245,694,9
246,696,8
247,701,6
248,704,6
249,705,1
250,707,7
251,710,5
252,712,4
253,719,8
254,722,3
255,723,7
256,727,2
257,728,3
258,730,2
259,731,10
260,735,10
261,737,9
262,738,7
263,741,6
264,742,6
265,750,6
266,756,1
267,757,2
268,763,11
269,765,1
270,772,1
271,776,1
272,777,7
273,779,6
274,781,2
275,783,9
276,789,4
277,793,3
278,795,4
279,798,4
280,800,9
281,802,2
282,804,7
283,806,2
284,807,1
285,810,10
286,815,1
287,816,3
288,825,9
289,827,6
290,838,9
291,841,3
292,842,11
293,843,11
294,844,8
295,847,10
296,848,7
297,850,4
298,851,11
299,852,10
300,853,11
301,855,11
302,857,9
303,858,1
304,861,11
305,863,11
306,868,1
307,870,1
308,873,6
309,874,1
310,876,7
311,878,6
312,879,3
313,882,3
314,890,11
315,893,9
316,894,6
317,895,8
318,898,3
319,900,4
320,902,2
321,903,8
322,910,10
323,912,9
324,913,4
325,914,5
326,916,1
327,917,7
328,919,3
329,922,10
330,924,11
331,925,3
332,932,7
333,934,6
334,936,6
335,941,3
336,943,7
337,944,2
338,945,11
339,946,7
340,951,2
341,952,6
342,957,3
343,962,10
344,963,9
345,970,9
346,976,7
347,977,3
348,978,7
349,981,9
350,982,1
351,984,7
352,987,11
353,989,5
354,992,4
355,995,5
356,998,8
357,999,8
358,1000,3
